Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement
8.78,-0.6243455459549272,-0.3368078520463201,0.5785556288935161,-0.5922533980469288,1.0,1.0
8.79,-0.6836474043238387,-0.3187437524054323,0.5642738241165022,-0.526348831166955,1.0,1.0
8.8,-0.7506340728034785,-0.2989966621147723,0.5576220246313174,-0.44913142050036625,1.0,1.0
8.81,-0.8257053392030742,-0.2770429840833,0.5596762568252717,-0.3596149181273033,1.0,1.0
8.82,-0.9090833078610874,-0.252359121219975,0.5741537027636144,-0.2572191782125552,1.0,1.0
8.83,-0.9998795614236758,-0.22453367581040876,0.6034998769629583,-0.14293044867598115,1.0,1.0
8.84,-1.099071358980065,-0.19334224910129819,0.644095417938717,-0.017270860769270573,1.0,1.0
8.85,-1.2058591249117983,-0.1607670300801527,0.6912449378189962,0.11703290008208457,1.0,1.0
8.86,-1.3199763340127226,-0.1298374019165622,0.7490569009917034,0.25957473179343593,1.0,1.0
8.87,-1.441378565415146,-0.1021989554680817,0.8218354130060757,0.4100065468636576,1.0,1.0
8.88,-1.5681557218083102,-0.07889888491679165,0.9094826532814491,0.568096286958665,1.0,1.0
8.89,-1.6977313928660744,-0.06070762598236551,1.0134659305277904,0.7318134416552198,1.0,1.0
8.9,-1.8262409630992291,-0.04802909642074861,1.1261552394532706,0.8957626546858585,1.0,1.0
8.91,-1.9522629647416279,-0.04058653776953398,1.2427573716053297,1.0578554010438215,1.0,1.0
8.92,-2.0748645595717377,-0.0383799500287216,1.3625875829193166,1.2186718265643215,1.0,1.0
8.93,-2.193512697177253,-0.04129713382165998,1.480852664942672,1.3779798729132722,1.0,1.0
8.94,-2.3068303306597198,-0.04915109018726339,1.5935419738681518,1.534039102585041,1.0,1.0
8.95,-2.4127296792376116,-0.06126862286562289,1.7026119213090465,1.6833106259848403,1.0,1.0
8.96,-2.5059690805232635,-0.07394715242723979,1.8010194254575125,1.8161640222481676,1.0,1.0
8.97,-2.5878367396797457,-0.08737367783319985,1.8849494836676355,1.933353480960797,1.0,1.0
8.98,-2.660997908768583,-0.10304419077218949,1.9534238901327707,2.0389400229692054,1.0,1.0
8.99,-2.724031120023629,-0.12151968812746602,2.005268797884945,2.1311832107677606,1.0,1.0
9.0,-2.7739601753095133,-0.14119197883369167,2.040777668666151,2.2059640089264625,1.0,1.0
9.01,-2.8093191859924,-0.1607520701632658,2.061809093509014,2.260845804937427,1.0,1.0
9.02,-2.8320182493830477,-0.18106015733718317,2.0700260222848303,2.2993674883954394,1.0,1.0
9.03,-2.842501574158376,-0.20267723723870104,2.068069610671541,2.3219931759686707,1.0,1.0
9.04,-2.8407247394506925,-0.22645602513037075,2.058483193766422,2.330115217661625,1.0,1.0
9.05,-2.8273984791430724,-0.255467043953221,2.0397016422788417,2.3266343426503586,1.0,1.0
9.06,-2.8023895306324373,-0.29073504801400185,2.0048481693880875,2.310970405099661,1.0,1.0
9.07,-2.7659644191249417,-0.3322488173750484,1.9527489281261858,2.286024134185586,1.0,1.0
9.08,-2.715013683882139,-0.3770911682434221,1.8881873448876296,2.252375675743346,1.0,1.0
9.09,-2.6490931162271085,-0.42152212139740686,1.811496009646678,2.2074723880980116,1.0,1.0
9.1,-2.5708013369198377,-0.464831080784877,1.7233596664679822,2.15479514626085,1.0,1.0
9.11,-2.4814532036440107,-0.5081400401723472,1.6323865264500164,2.0949240960670705,1.0,1.0
9.12,-2.3830609817060786,-0.5510750016376456,1.545228389077966,2.023624172919634,1.0,1.0
9.13,-2.278272154820489,-0.5949823577005902,1.4584615340285725,1.9409533914020618,1.0,1.0
9.14,-2.1677530360026216,-0.6404979048288728,1.3638690325260217,1.8484781452694223,1.0,1.0
9.15,-2.049104898397107,-0.6870232463470186,1.2618421668929696,1.7448640991007316,1.0,1.0
9.16,-1.9216614289885616,-0.7331371901507757,1.1548264516460296,1.6320837487357058,1.0,1.0
9.17,-1.7844009478200695,-0.7764461495382458,1.035485343235365,1.5116454733458942,1.0,1.0
9.18,-1.6360352497285604,-0.8165013270028231,0.8990256332084164,1.385173681269889,1.0,1.0
9.19,-1.4765199138463416,-0.8513579333492152,0.7475015537591381,1.2511599933361395,1.0,1.0
9.2,-1.3081648252934015,-0.8787495411690625,0.578663231532247,1.1113448470502796,1.0,1.0
9.21,-1.1359451212512512,-0.8990202285507626,0.3989668248515987,0.9715297007644192,1.0,1.0
9.22,-0.9614155320891136,-0.9130825504244144,0.21389028623440412,0.8334549919841929,1.0,1.0
9.23,-0.7848425830131406,-0.9204129096989776,0.026857336003919933,0.6930596998631227,1.0,1.0
9.24,-0.6075589000540945,-0.921721902426578,-0.15430637938669556,0.5468629493899412,1.0,1.0
9.25,-0.43369562390733774,-0.9184681205036853,-0.32422072800089585,0.3966051780702827,1.0,1.0
9.26,-0.26889420476976295,-0.9116987581123795,-0.48386391564532594,0.2482618880068208,1.0,1.0
9.27,-0.11772999201365329,-0.9030220063179986,-0.6298122219967288,0.1073444646340598,1.0,1.0
9.28,0.021573849068674048,-0.8923630655361083,-0.7615765441517823,-0.026669223299689442,1.0,1.0
9.29,0.1507497323172097,-0.8790487395067996,-0.8783156251167717,-0.15470740913076503,1.0,1.0
9.3,0.2676210352150424,-0.8646498195031934,-0.9765861804523075,-0.27091061992353566,1.0,1.0
9.31,0.3692559804944955,-0.8513728932661021,-1.0538448750611134,-0.36976747024349615,1.0,1.0
9.32,0.4568539315832548,-0.8395171591332626,-1.1095184803404947,-0.4506978142554362,1.0,1.0
9.33,0.531969618850543,-0.8281850220914636,-1.1456436207798872,-0.5175306144717472,1.0,1.0
9.34,0.5950028301055884,-0.8174138819329216,-1.1672130588164047,-0.5716582208969369,1.0,1.0
9.35,0.6465310366283881,-0.8056703471767338,-1.1812992224320897,-0.6189981210501575,1.0,1.0
9.36,0.6871494780460158,-0.7907104302898701,-1.1906899981758796,-0.6656418462011249,1.0,1.0
9.37,0.7158187060544768,-0.7734691260777599,-1.185084878903805,-0.7070062442516716,1.0,1.0
9.38,0.7328318983805392,-0.7542456328781403,-1.1560712946787204,-0.7414669068632077,1.0,1.0
9.39,0.736652093002057,-0.7343863432108286,-1.1079435689917965,-0.7694299361203795,1.0,1.0
9.4,0.7250138256667351,-0.7184166319341019,-1.048566476528458,-0.787124384094316,1.0,1.0
