Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),Action,Placement
14.0,2.394906451612902,-11.305161290322582,1.9516129032258074,12.963225806451613,0.0,0.0
14.0,2.1023258064516117,-11.006451612903225,2.2229032258064523,12.667741935483871,0.0,0.0
14.0,1.7229709677419347,-10.690322580645162,2.524193548387098,12.314193548387097,0.0,0.0
14.0,1.289099999999999,-10.374838709677421,2.818064516129033,11.94258064516129,0.0,0.0
14.0,0.8439387096774184,-10.075161290322582,3.0664516129032267,11.609677419354838,0.0,0.0
14.0,0.407809677419354,-9.787741935483872,3.308709677419356,11.310322580645161,0.0,0.0
14.0,-0.013803225806452536,-9.500645161290324,3.5329032258064523,11.020967741935483,0.0,0.0
14.0,-0.39993225806451704,-9.208387096774194,3.6406451612903235,10.763870967741935,0.0,0.0
14.0,-0.7321903225806461,-8.911612903225809,3.642580645161291,10.506129032258064,0.0,0.0
14.1,-0.9944483870967751,-8.606129032258066,3.588709677419356,10.200967741935484,0.0,0.0
14.1,-1.1589645161290332,-8.311612903225807,3.474425806451614,9.880645161290323,0.0,0.0
14.1,-1.1660612903225815,-8.082580645161292,3.016683870967743,9.819354838709678,0.0,0.0
14.1,-0.772190322580646,-8.00193548387097,1.6689419354838717,10.693548387096774,0.0,0.0
14.1,-0.26380322580645243,-8.153548387096775,0.8095870967741945,11.312903225806451,0.0,0.0
14.1,0.13813225806451526,-8.398709677419355,0.6173290322580655,11.670967741935485,0.0,0.0
14.1,0.563809677419354,-8.643870967741936,0.38378064516129123,12.032258064516132,0.0,0.0
14.1,0.925358064516128,-8.830967741935485,0.11958709677419448,12.316129032258065,0.0,0.0
14.1,1.2038741935483863,-8.84709677419355,-0.0946064516129023,12.416129032258064,0.0,0.0
14.2,1.4125193548387087,-8.662903225806453,-0.20105806451612812,12.303225806451612,0.0,0.0
14.2,1.5641967741935474,-8.398387096774194,-0.2204129032258055,12.089677419354839,0.0,0.0
14.2,1.6691645161290314,-8.104193548387098,-0.20718709677419264,11.83741935483871,0.0,0.0
14.2,1.7515193548387087,-7.826451612903226,-0.20009032258064424,11.589677419354839,0.0,0.0
14.2,1.8175903225806442,-7.635161290322581,-0.2081548387096765,11.40935483870968,0.0,0.0
14.2,1.8634612903225798,-7.5674193548387105,-0.20589677419354746,11.34483870967742,0.0,0.0
14.2,1.9186548387096765,-7.625483870967742,-0.21976774193548296,11.384516129032258,0.0,0.0
14.2,2.0263967741935476,-7.826774193548387,-0.4112516129032249,11.52483870967742,0.0,0.0
14.2,2.2115580645161277,-8.188709677419356,-0.8560903225806442,11.882903225806452,0.0,0.0
14.2,2.3941387096774185,-8.634516129032258,-1.2496387096774184,12.28709677419355,0.0,0.0
14.3,2.4961709677419344,-9.036451612903228,-1.363832258064515,12.618064516129033,0.0,0.0
14.3,2.5102322580645153,-9.318064516129033,-1.2438322580645151,12.909677419354841,0.0,0.0
14.3,2.463845161290322,-9.507741935483871,-1.0864129032258056,13.154838709677419,0.0,0.0
14.3,2.4128451612903214,-9.648709677419356,-1.0218967741935476,13.304193548387097,0.0,0.0
14.3,2.3931677419354833,-9.773548387096774,-1.0312516129032248,13.390967741935484,0.0,0.0
14.3,2.423167741935483,-9.906129032258066,-1.0764129032258056,13.457096774193548,0.0,0.0
14.3,2.497974193548386,-10.065161290322582,-1.1322193548387087,13.534193548387098,0.0,0.0
14.3,2.5960387096774187,-10.25741935483871,-1.190283870967741,13.63258064516129,0.0,0.0
14.3,2.7077161290322573,-10.480645161290324,-1.2222193548387086,13.760967741935485,0.0,0.0
14.3,2.844909677419354,-10.732258064516131,-1.1960903225806443,13.927741935483871,0.0,0.0
14.4,3.019135483870967,-10.982580645161292,-1.1196387096774183,14.107419354838711,0.0,0.0
14.4,3.3026838709677406,-11.227741935483872,-1.0583483870967731,14.316774193548389,0.0,0.0
14.4,3.6155870967741928,-11.58483870967742,-0.9999612903225796,14.68967741935484,0.0,0.0
14.4,3.88752258064516,-11.860000000000003,-0.9014838709677411,15.029354838709677,0.0,0.0
14.4,4.0371999999999995,-12.001935483870968,-0.4066451612903216,15.06483870967742,0.0,0.0
14.4,3.709135483870967,-11.890322580645162,0.9920645161290333,14.04225806451613,0.0,0.0
14.4,3.1701032258064505,-11.460322580645162,1.9327096774193557,13.191612903225806,0.0,0.0
14.4,2.717735483870967,-10.878709677419355,2.1781935483870978,12.540645161290325,0.0,0.0
14.4,2.253929032258063,-10.299354838709679,2.4001290322580657,11.857419354838711,0.0,0.0
14.4,1.8339290322580635,-9.812903225806453,2.621741935483872,11.272903225806452,0.0,0.0
14.5,1.484574193548386,-9.534838709677421,2.787548387096775,10.908709677419356,0.0,0.0
14.5,1.2219935483870958,-9.503870967741937,2.8467419354838723,10.80709677419355,0.0,0.0
14.5,1.0487354838709668,-9.61483870967742,2.805096774193549,10.86225806451613,0.0,0.0
14.5,0.9427032258064506,-9.800967741935485,2.7204193548387106,11.001612903225807,0.0,0.0
14.5,0.8774451612903217,-10.01,2.6231290322580656,11.173548387096774,0.0,0.0
14.5,0.8407290322580636,-10.162580645161292,2.5026451612903235,11.296129032258067,0.0,0.0
14.5,0.8260516129032249,-10.208387096774194,2.3447419354838717,11.308387096774194,0.0,0.0
