"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.741226250E-1,-5.189440144E0,-4.795965800E0,1.791478118E0,7.289785375E0
9.841646249E-1,-6.038055907E0,-4.212482091E0,1.788829329E0,7.576479055E0
9.942076249E-1,-7.103080046E0,-3.844137910E0,9.188174343E-1,8.128675654E0
1.004249625E0,-7.684836488E0,-2.078058928E0,-1.651488758E0,8.130341682E0
1.014292625E0,-6.560732667E0,6.486409879E-1,-2.730988848E0,7.135982648E0
1.024334625E0,-5.430934829E0,1.683070740E0,-2.945438991E0,6.403389030E0
1.034377625E0,-4.033098870E0,2.001020107E0,-2.605534497E0,5.201805262E0
1.044419625E0,-2.709734219E0,1.699213148E0,-2.263595320E0,3.918398733E0
1.054462625E0,-1.597548194E0,1.053984010E0,-2.180379793E0,2.901223633E0
1.064504625E0,-5.844274503E-1,5.330029428E-1,-2.014055744E0,2.163808707E0
1.074547625E0,-6.275816560E-3,5.174780005E-1,-2.023242889E0,2.088380869E0
1.084589625E0,6.610107726E-1,9.045204073E-1,-1.895756338E0,2.202040986E0
1.094632625E0,1.709442267E0,1.500062830E0,-1.081508024E0,2.518340915E0
1.104674625E0,2.486007469E0,1.885801308E0,2.609860852E-2,3.120442412E0
1.114717625E0,1.260669050E0,1.169108670E0,8.678039861E-1,1.925924530E0
1.124759625E0,4.147166938E-1,2.469630003E-1,1.321730500E0,1.407107734E0
1.134802625E0,9.221275431E-1,-4.602799523E-1,1.829417046E0,2.099748453E0
1.144845625E0,1.806671230E0,-5.200227088E-1,2.740391171E0,3.323285772E0
1.154887625E0,2.270698079E0,-5.599761486E-1,3.647464180E0,4.332855640E0
1.164929625E0,2.233331447E0,-4.606348783E-1,3.794328403E0,4.426836554E0
1.174972625E0,1.274452399E0,7.790192789E-1,3.072689606E0,3.416507189E0
1.185015625E0,8.731764078E-2,2.657470636E0,2.494480669E0,3.645848099E0
1.195057625E0,-5.116547585E-1,3.891350083E0,2.112736863E0,4.457359433E0
1.205099625E0,-3.195994520E-1,4.482364422E0,1.563449571E0,4.757952205E0
1.215142625E0,5.799291873E-1,4.343073805E0,1.197799788E0,4.542392791E0
1.225185625E0,1.789754943E0,3.676042739E0,1.333307841E0,4.300490992E0
1.235227625E0,2.341529495E0,3.485120038E0,1.646594785E0,4.509999606E0
1.245270625E0,2.184151393E0,4.091474547E0,1.838048851E0,4.988898161E0
1.255312625E0,1.670165057E0,4.541887323E0,2.015074767E0,5.242014698E0
1.265355625E0,7.874044785E-1,4.696380701E0,2.182431289E0,5.238225256E0
1.275397625E0,-4.068410790E-1,4.522140691E0,2.286722081E0,5.083736221E0
1.285440625E0,-1.236585246E0,4.028828648E0,1.981262366E0,4.656823371E0
1.295482625E0,-1.484168636E0,4.050953928E0,1.352472675E0,4.521301428E0
1.305525625E0,-1.526239353E0,4.905315165E0,7.239578032E-1,5.188028366E0
1.315567625E0,-1.526259233E0,5.612469240E0,-3.299408376E-2,5.816387781E0
1.325610625E0,-1.589523768E0,5.917552979E0,-1.139109530E0,6.232302110E0
1.335652625E0,-1.503382587E0,6.212198269E0,-1.217746979E0,6.506494773E0
1.345695625E0,-1.342687067E0,5.500884485E0,-1.247825202E0,5.798241665E0
1.355737625E0,-1.951017643E0,3.021652769E0,-1.170458938E0,3.782436969E0
1.365780625E0,-3.526515694E0,-4.480791521E-1,-1.964364497E0,4.061504123E0
1.375822625E0,-4.084522208E0,-4.777938834E0,-1.788442390E0,6.535330700E0
1.385865625E0,-3.401540815E0,-8.703269427E0,-6.950249031E-1,9.370188805E0
1.395907625E0,-2.953260519E0,-1.144807525E1,4.087332380E-1,1.182992973E1
1.405950625E0,-2.135826202E0,-1.407575783E1,2.194630773E0,1.440503788E1
1.415992625E0,-6.049651740E-1,-1.590106560E1,4.614317953E0,1.656809585E1
1.426035625E0,1.247746411E0,-1.628767180E1,6.904584031E0,1.773466674E1
1.436077625E0,2.753155643E0,-1.517360180E1,7.676828141E0,1.722648391E1
1.446120625E0,3.697449103E0,-1.151254080E1,6.315896299E0,1.364185734E1
1.456162625E0,3.893061856E0,-6.460909002E0,3.918159567E0,8.500073537E0
1.466205625E0,3.525468165E0,-2.119728525E0,1.833354707E0,4.503705617E0
1.476247625E0,3.376835452E0,9.659898466E-1,5.402730784E-1,3.553596636E0
1.486290625E0,3.292170693E0,3.017614682E0,-5.364381820E-1,4.498016470E0
1.496332625E0,3.167933148E0,4.393568020E0,-1.402817055E0,5.595278015E0
1.506375625E0,3.137356887E0,5.008352460E0,-2.193613358E0,6.303851376E0
1.516417625E0,3.030579128E0,4.231083838E0,-2.672946754E0,5.850737103E0
1.526460625E0,2.565952941E0,1.809015672E0,-3.380463649E0,4.613478804E0
1.536502625E0,1.431450724E0,-2.025738627E-1,-3.670874970E0,3.945302319E0
1.546545625E0,2.486966997E-2,-1.398299643E0,-3.400917209E0,3.677240576E0
1.556587625E0,-1.412938732E0,-1.651071852E0,-3.041729769E0,3.738255489E0
1.566630625E0,-2.364164067E0,-1.281578693E0,-2.603282150E0,3.742832301E0
1.576672625E0,-2.403063400E0,-9.688333476E-1,-2.103752470E0,3.337532953E0
1.586715625E0,-2.074959465E0,-7.922673154E-1,-1.618633400E0,2.748293718E0
1.596757625E0,-1.893262062E0,-4.944721305E-1,-1.186595938E0,2.288439172E0
1.606800625E0,-1.469016161E0,-2.493843323E-1,-8.747189033E-1,1.727811965E0
1.616842625E0,-7.765283650E-1,-8.618211150E-2,-6.775180471E-1,1.034144266E0
1.626885625E0,-9.602940738E-2,2.595520556E-2,-4.250048697E-1,4.364910756E-1
1.636927625E0,5.358036129E-1,-2.515706062E-1,-8.754319713E-2,5.983620082E-1
1.646970625E0,9.361753325E-1,-4.824514246E-1,3.223094903E-1,1.101393226E0
1.657012625E0,1.177329124E0,-6.285207188E-1,6.932787783E-1,1.503920751E0
1.667055625E0,1.309974088E0,-7.692479968E-1,8.924569436E-1,1.761889324E0
1.677097625E0,1.301304129E0,-6.625035667E-1,9.791512712E-1,1.758135554E0
1.687140625E0,1.360857436E0,-3.928545392E-1,1.162982103E0,1.832701564E0
1.697182625E0,1.604104384E0,-9.307597876E-2,1.526233213E0,2.216123154E0
1.707225625E0,1.833459518E0,1.670643067E-1,2.165976493E0,2.842699149E0
1.717267625E0,1.857239121E0,4.470313311E-1,2.929238110E0,3.497085940E0
1.727310625E0,1.833975681E0,8.112929857E-1,3.480648673E0,4.017036008E0
1.737352625E0,1.853029272E0,1.162851564E0,3.625417546E0,4.234335087E0
1.747395625E0,1.843969596E0,1.585786520E0,3.486181893E0,4.250694878E0
1.757437625E0,1.706126311E0,2.029208949E0,3.219246558E0,4.170384197E0
1.767480625E0,1.351017595E0,2.372284387E0,2.822745695E0,3.926942197E0
1.777522625E0,8.313897197E-1,2.604971995E0,2.368788922E0,3.617768500E0
1.787565625E0,1.975822408E-1,2.722604526E0,1.791923676E0,3.265364391E0
1.797607625E0,-1.280673837E0,2.563279009E0,-2.006305990E0,3.497969194E0
1.807650625E0,-3.630594086E0,1.541716640E0,-1.092216264E1,1.161256820E1
1.817692625E0,-2.419125262E0,8.088564509E-1,-7.983596463E0,8.381182988E0
1.827735625E0,-3.668145490E-1,6.954555506E-1,-2.986638472E0,3.088400994E0
1.837777625E0,1.003018363E0,7.588481390E-1,5.119167503E-1,1.357923081E0
1.847820625E0,1.529783058E0,1.165989765E0,2.788894994E0,3.387875975E0
1.857862625E0,1.282036823E0,1.596496280E0,3.735853908E0,4.260167040E0
1.867905625E0,-2.711441606E-1,1.758486373E0,2.790119401E0,3.309162999E0
1.877947625E0,-2.574957945E0,1.506035761E0,1.746938268E-1,2.988154960E0
1.887990625E0,-4.667186723E0,1.012963454E0,-2.652135637E0,5.462833541E0
1.898032625E0,-4.923633907E0,3.153216290E-1,-2.497138814E0,5.529674568E0
1.908075625E0,-3.104538805E0,-1.507745486E-1,1.089418137E0,3.293588625E0
1.918117625E0,-1.455291577E0,-2.116814858E-1,2.509015678E0,2.908236974E0
1.928160625E0,-7.857421151E-1,4.882834375E-2,3.666275842E-1,8.684415145E-1
1.938202625E0,-1.184809613E-1,3.502096260E-1,-1.073530083E0,1.135408014E0
1.948245625E0,3.805069739E-1,7.059770304E-1,7.017570949E-1,1.065669810E0
1.958287625E0,3.125170121E-1,8.465610516E-1,1.160879298E0,1.470365003E0
1.968330625E0,-1.934498674E-1,6.206912971E-1,3.628591999E-1,7.445450533E-1
1.978372625E0,-4.601916593E-1,3.142083192E-1,-3.384017587E-2,5.582547704E-1
1.988415625E0,2.228713024E-1,1.462698537E-1,3.219813153E-1,4.180172902E-1
1.998457625E0,1.042700053E0,4.752616882E-3,5.859959659E-1,1.196092497E0
2.008500625E0,1.868453203E0,-2.131649244E-1,-1.302173756E0,2.287403146E0
2.018542625E0,2.028624812E0,-1.969383162E-1,-7.391953549E-1,2.168066674E0
2.028585625E0,1.894905422E0,4.361467391E-1,-6.827825877E-1,2.060845118E0
2.038627625E0,2.277705089E0,1.513379864E0,-2.416048750E0,3.649047910E0
2.048670625E0,2.246750515E0,2.868997171E0,-1.788768518E0,4.059399642E0
2.058712625E0,1.379611357E0,4.109182840E0,-2.252963181E0,4.885136048E0
2.068755625E0,-1.342280978E-1,4.429248315E0,-1.076109874E0,4.560073495E0
2.078797625E0,-9.172416097E-1,4.224382929E0,7.724008155E-1,4.391280715E0
2.088840625E0,-1.092962134E0,3.815808150E0,9.522430426E-1,4.081877617E0
2.098882625E0,-1.807018263E0,3.267842183E0,1.510428189E0,4.028088982E0
2.108925625E0,-2.527986969E0,2.848471690E0,1.014914377E0,3.941390653E0
2.118967625E0,-3.274841884E0,2.591319916E0,-1.943094081E-1,4.180584220E0
2.129010625E0,-4.379658079E0,2.472347789E0,-1.290524933E0,5.192240661E0
2.139052625E0,-5.681970415E0,1.468460968E0,-1.966464232E0,6.189357558E0
2.149095625E0,-5.764297457E0,-5.874639094E-2,-9.746399251E-1,5.846409094E0
2.159137625E0,-4.162905303E0,-9.920795381E-1,-7.480103248E-1,4.344366676E0
2.169180625E0,-2.936380484E0,-1.630848672E0,-1.101135080E0,3.534755466E0
2.179222625E0,-1.992888384E0,-2.283824201E0,-1.433076543E0,3.352784734E0
2.189265625E0,-7.998733735E-1,-2.956075661E0,-2.054820338E0,3.687881146E0
